tag,name,rank,thLevel,warID,order_,attackerTag,defenderTag,stars,new_stars,destructionPercentage,war_player.defenderTag,defenderName,defenderRank,defenderTH,attacker_is_home_clan,home_clan_tag,home_clan_name,home_clan_level,enemy_clan_tag,enemy_clan_name,enemy_clan_level,war_start_time,war_size,type
#P2GQG0RPY,Катрин,13,18,16054194,1,#P2GQG0RPY,#G9LPQQJG2,3,3,100,#G9LPQQJG2,scoqui,13,18,0,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#G9LPQQJG2,scoqui,13,18,16054194,2,#G9LPQQJG2,#98CC8QL9U,3,3,100,#98CC8QL9U,lV_()_()_l3,15,18,1,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#2LJJPQ80Y,°°°AKiLiS°°°,14,18,16054194,3,#2LJJPQ80Y,#VLYRCPQ9,3,3,100,#VLYRCPQ9,Серёга 250,6,18,1,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#98CC8QL9U,lV_()_()_l3,15,18,16054194,4,#98CC8QL9U,#9GPRPC02R,3,3,100,#9GPRPC02R,BRUTHUTHUSII's,15,18,0,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#P0RVCRJVQ,...oOAZiSs...,5,18,16054194,5,#P0RVCRJVQ,#22L9CVGQG,2,2,96,#22L9CVGQG,BrazilianHeIIz,1,18,0,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#9YQGQGRVR,Thuthu,2,18,16054194,6,#9YQGQGRVR,#2RGG0QJ2,3,3,100,#2RGG0QJ2,NEO,1,18,1,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#8VJU02QGJ,Thuria,5,18,16054194,7,#8VJU02QGJ,#89LRUG22V,3,3,100,#89LRUG22V,Моряна,8,18,1,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#22L9CVGQG,BrazilianHeIIz,1,18,16054194,8,#22L9CVGQG,#YGVV92QR,3,3,100,#YGVV92QR,FaZe_Merko,11,18,1,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#LPLQC28RC,Rogério ™,9,18,16054194,9,#LPLQC28RC,#PVJC8Y8LV,3,3,100,#PVJC8Y8LV,✴️Л а к ш м и✴️,14,18,1,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
#2RGG0QJ2,NEO,1,18,16054194,10,#2RGG0QJ2,#999QY98Q,3,3,100,#999QY98Q,MV Manager,4,18,0,#90YVJJC8,BRAZILIAN HOUSE,30,#G0PLUJ8Y,~AvengerS~,36,2026-06-25 09:39:44,15,league
